course	file	number	title	question	source	score	evidence_kind	best_object	excerpt
信号/CN - 通信与网络	信号/CN - 通信与网络/QUESTIONS.md	Q01	基带、载波传输与数字通信	什么是基带传输和宽带传输？各举一个例子。数字通信有什么优点？	test/2014-一字班推研那点事儿（2）-宗泽宇.pdf	0.522	regular	2014-一字班推研那点事儿（2）-宗泽宇.pdf	1、宽带传输和基带传输的定义 2、两种传输举例 3、数字通信的优点
信号/CN - 通信与网络	信号/CN - 通信与网络/QUESTIONS.md	Q02	语音 PCM、非均匀量化与 DPCM	电话语音为什么常用 $8\ \mathrm{kHz}$ 采样？8 bit PCM 的码率是多少？PCM 是不是均匀量化，为什么使用 A 律或 $\mu$ 律？	test/2013-据说留下面经可以攒人品-戴国浩.pdf	0.375	regular	2013-据说留下面经可以攒人品-戴国浩.pdf	为什么语音信号的传输速率是64kbps？ Nice啊，张彧老师的课上讲过，我说因为是300Hz~3400Hz，看成4KHz的信号，采样率8KHz，然后8b it量化。谷老师接着问：
信号/CN - 通信与网络	信号/CN - 通信与网络/QUESTIONS.md	Q02	语音 PCM、非均匀量化与 DPCM	电话语音为什么常用 $8\ \mathrm{kHz}$ 采样？8 bit PCM 的码率是多少？PCM 是不是均匀量化，为什么使用 A 律或 $\mu$ 律？	test/2014-一字班推研那点事儿（2）-宗泽宇.pdf	0.531	regular	2014-一字班推研那点事儿（2）-宗泽宇.pdf	5、为什么是这个采样率 6、PCM码率 7、PCM是不是均匀量化，为什么
信号/CN - 通信与网络	信号/CN - 通信与网络/QUESTIONS.md	Q02	语音 PCM、非均匀量化与 DPCM	DPCM 与 PCM 有什么区别，各有什么优缺点？	test/2013-据说留下面经可以攒人品-戴国浩.pdf	0.75	regular	2013-据说留下面经可以攒人品-戴国浩.pdf	Nice啊，张彧老师的课上讲过，我说因为是300Hz~3400Hz，看成4KHz的信号，采样率8KHz，然后8b it量化。谷老师接着问： 什么是DPCM？相比于PCM有什么优缺点？
信号/CN - 通信与网络	信号/CN - 通信与网络/QUESTIONS.md	Q03	PSK、QAM 与 FSK 的频谱和能量效率	比较 16QAM、16PSK 和 16FSK 的频谱效率与能量效率。高阶 PSK 和 QAM 应怎样选择？	test/2012-面经_九字班2.pdf	0.522	regular	2012-面经_九字班2.pdf	采样率 9k 时，5k 的信号经过系统，会怎么样？ 【通信与网络】 关于匹配滤波的定义及特性，16QAM、16QPSK、16FSK 的频谱效率和能量效率
信号/CN - 通信与网络	信号/CN - 通信与网络/QUESTIONS.md	Q03	PSK、QAM 与 FSK 的频谱和能量效率	比较 16QAM、16PSK 和 16FSK 的频谱效率与能量效率。高阶 PSK 和 QAM 应怎样选择？	test/2021-八字班推研面经-贾文彬.docx	0.13	regular	2021-八字班推研面经-贾文彬.docx	FM和FSK分别是什么，他们的区别是什么？ ASK、PSK、FSK，如果要你选的话，你会选择哪种调制方式，理由？ 对于4阶以上的PSK和QAM，又怎么选，为什么？
信号/CN - 通信与网络	信号/CN - 通信与网络/QUESTIONS.md	Q04	升余弦成形、滚降系数与频谱效率	16PSK 采用滚降系数 $\alpha=0.5$ 的升余弦成形时，频谱效率是多少？滚降系数增大会产生什么影响？升余弦滤波器怎样近似实现？	test/2012-留下面经，造福众生-孟越.pdf	0.35	regular	2012-留下面经，造福众生-孟越.pdf	居然一直低着头不为难我啊，估计是看我随机过程成绩太可怜了动了恻隐之心吧，总之太感动了！先是张旭东 老师问给一系统，输入输出满足y(t)=x((t-t0)/a)，问这是不是线性时不变系统，没什么难度，果断不是。接着 陈巍老师问16PSK用alpha=0.5的升余弦滚降成形，频谱效率怎么算。哦漂亮又不会，我就blabla一顿扯估计
信号/CN - 通信与网络	信号/CN - 通信与网络/QUESTIONS.md	Q04	升余弦成形、滚降系数与频谱效率	16PSK 采用滚降系数 $\alpha=0.5$ 的升余弦成形时，频谱效率是多少？滚降系数增大会产生什么影响？升余弦滤波器怎样近似实现？	test/2012-面经_九字班1.pdf	0.6	regular	2012-面经_九字班1.pdf	啊，估计是看我随机过程成绩太可怜了动了恻隐之心吧，总之太感动了！先是张旭东老师 问给一系统，输入输出满足 y(t)=x((t-t0)/a)，问这是不是线性时不变系统，没什么难度， 果断不是。接着陈巍老师问 16PSK 用 alpha=0.5 的升余弦滚降成形，频谱效率怎么算。
信号/CN - 通信与网络	信号/CN - 通信与网络/QUESTIONS.md	Q04	升余弦成形、滚降系数与频谱效率	16PSK 采用滚降系数 $\alpha=0.5$ 的升余弦成形时，频谱效率是多少？滚降系数增大会产生什么影响？升余弦滤波器怎样近似实现？	test/2024-一字班推研面经-zcy.docx	0.575	regular	2024-一字班推研面经-zcy.docx	AM和FM中是否会用到匹配滤波？ 21-28是基本概念，就答得比较快，所以这一组问题比较多，估计最后成绩也比较高一些。29是不可实现，因为时域非因果，30是可以先找理想的升余弦滤波器时间序列，再进行时域截断。31,32我当时没想清楚，现在想想可能有点类似吉布斯效应，也可能是想让我答DSP中的频谱泄露等等。33则是滚降系数增大，升余弦滤波器的带宽增大，W=(1+α)Rs/2 34是基本概念，我答的是让滤波器的波形与接收的波形成线性关系。35-37是ggg问的，其实到这一步老师们
信号/CN - 通信与网络	信号/CN - 通信与网络/QUESTIONS.md	Q05	差分编码与码率	差分编码是什么，有什么好处？$100\ \mathrm{bit/s}$ 的等概 0、1 比特流经过差分编码后码率是多少？	test/2013-面试经历小结-黄博.pdf	0.615	regular	2013-面试经历小结-黄博.pdf	什么不利于实现，我就答不出来了。。。然后潘长勇老师问我差分编码是怎么回事，有什么好处。我说能抗噪 声，还能压缩数据量。于是又问我一个100bps的比特流，1和0等概分布，差分编码后的比特率是多少。这特 么的是什么。。。然后谷哥哥老师抬头说我来问一个，冲击响应不变法知道吗？我说知道，但是忘了。。。谷
信号/CN - 通信与网络	信号/CN - 通信与网络/QUESTIONS.md	Q06	分组码、卷积码、码距与译码	什么是分组码和卷积码，它们有什么区别？什么是 Hamming 距离和卷积码的自由距离？卷积码怎样译码？	test/2012-面经_九字班2.pdf	0.483	regular	2012-面经_九字班2.pdf	问 QAM 调制的信息放在什么地方 各种调制方式的比较 分组码和卷积码的区别和应用
信号/CN - 通信与网络	信号/CN - 通信与网络/QUESTIONS.md	Q06	分组码、卷积码、码距与译码	什么是分组码和卷积码，它们有什么区别？什么是 Hamming 距离和卷积码的自由距离？卷积码怎样译码？	test/2018_面试整体情况.docx	0.483	regular	2018_面试整体情况.docx	7、信道编码的目的是什么？ 8、什么是线性分组码？和卷积码有什么差别？ 9、什么样的编码能接近信道容量？什么是信道容量？
信号/CN - 通信与网络	信号/CN - 通信与网络/QUESTIONS.md	Q06	分组码、卷积码、码距与译码	什么是分组码和卷积码，它们有什么区别？什么是 Hamming 距离和卷积码的自由距离？卷积码怎样译码？	test/2021-八字班推研面经-涂晨昕.docx	0.448	regular	2021-八字班推研面经-涂晨昕.docx	杨昉老师： 通信 什么是分组码什么是卷积码？
信号/CN - 通信与网络	信号/CN - 通信与网络/QUESTIONS.md	Q07	Shannon 信道容量与可靠传输	什么是信道容量？写出带宽受限 Gauss 信道的 Shannon 公式，并说明带宽、功率和噪声怎样影响容量。传输速率达到容量时误码率是多少？	test/2017-面试经验-陈誉博.docx	0.261	regular	2017-面试经验-陈誉博.docx	举一个你知道的信道？最大信道容量是多少？ （高斯信道没敢说）对称二进制信道。一个二进制信源，取1的概率为，则信道容量为。（不知道信道容量的表达式对不对，说道一半老师就问下一个问题了） 你觉得用什么样的信源编码方法能够逼近信道容量的最大值？
信号/CN - 通信与网络	信号/CN - 通信与网络/QUESTIONS.md	Q07	Shannon 信道容量与可靠传输	什么是信道容量？写出带宽受限 Gauss 信道的 Shannon 公式，并说明带宽、功率和噪声怎样影响容量。传输速率达到容量时误码率是多少？	test/2018_面试整体情况.docx	0.261	regular	2018_面试整体情况.docx	7、信道编码的目的是什么？ 8、什么是线性分组码？和卷积码有什么差别？ 9、什么样的编码能接近信道容量？什么是信道容量？
信号/CN - 通信与网络	信号/CN - 通信与网络/QUESTIONS.md	Q07	Shannon 信道容量与可靠传输	什么是信道容量？写出带宽受限 Gauss 信道的 Shannon 公式，并说明带宽、功率和噪声怎样影响容量。传输速率达到容量时误码率是多少？	test/2019-推研面经-4.docx	0.109	regular	2019-推研面经-4.docx	推研面试终于告一段落，曾经被复习折磨的死去活来，终于成功上岸，也可以好好总结这次让我惶恐的考试。 信号组 信号组是我最害怕的组，所以抱着早死早超生的心态去排了这个、人最少的屋子。一进去，我看到谷gg，姚峥老师，沈渊老师都在，莫名有一种亲切感。一个不认识的老师开始发问，全部是通信的基础知识，从高斯信道容量开始问起，多址方式，双工方式（手机连接wifi是半双工还是全双工）等等……这些并不只是问它们的概念，而是会问你对这些概念的理解。姚峥老师估计是知道我选修过dsp（可是我真的只有
信号/CN - 通信与网络	信号/CN - 通信与网络/QUESTIONS.md	Q07	Shannon 信道容量与可靠传输	什么是信道容量？写出带宽受限 Gauss 信道的 Shannon 公式，并说明带宽、功率和噪声怎样影响容量。传输速率达到容量时误码率是多少？	test/2020-七字班推研面经-潘美竹.docx	0.348	regular	2020-七字班推研面经-潘美竹.docx	方波进去信道后输出是什么波形 对于带宽为W的带通信号用4W采样会不会出问题 信道容量和什么因素有关（我答带宽和信噪比）？还和什么有关？我们两个人点对点通信速率和什么有关？多个人和一个点进行通信，速率和什么有关？
信号/CN - 通信与网络	信号/CN - 通信与网络/QUESTIONS.md	Q07	Shannon 信道容量与可靠传输	什么是信道容量？写出带宽受限 Gauss 信道的 Shannon 公式，并说明带宽、功率和噪声怎样影响容量。传输速率达到容量时误码率是多少？	test/2023-0字班推研面经-1.pdf	0.087	regular	2023-0字班推研面经-1.pdf	第五个老师（问通网）： 1. 解释一下香农公式（带宽和信噪比 balabala ，这个幸好考前一天背了）？ 2. 介绍一下通信里面的技术？解释一下码分复用的原理（感觉没有完全说明白，只能堆叠
信号/CN - 通信与网络	信号/CN - 通信与网络/QUESTIONS.md	Q07	Shannon 信道容量与可靠传输	什么是信道容量？写出带宽受限 Gauss 信道的 Shannon 公式，并说明带宽、功率和噪声怎样影响容量。传输速率达到容量时误码率是多少？	test/2024-一字班推研面经-李羿璇.pdf	0.174	regular	2024-一字班推研面经-李羿璇.pdf	⽼师都不认识 第⼀个⽼师追着问了 4 分钟我怎么理解信道容量，误码率多⼩就达到信道容量了，之类的（完全不会） 第⼆个⽼师问我 DTFT，DFT，Z 变换的关系，然后⼜问给⼀个信号插⼊ n 个 0，DFT 有什么变化，我答分辨率变⾼，
信号/CN - 通信与网络	信号/CN - 通信与网络/QUESTIONS.md	Q08	超外差接收机与镜像干扰	为什么接收机采用超外差结构？什么是镜像干扰，怎样抑制？	test/2013-面试经历小结-黄博.pdf	0.545	regular	2013-面试经历小结-黄博.pdf	刚复习过，马上抢答：我知道，泊松泊松！欧老师笑了说，我问你能不能视作泊松过程。我想了想说应该是非 其次泊松过程，因为不平稳。这是我在信号组答出的唯一一道题。。。然后孟华东老师问我：为什么要用超外 差结构？我说因为固定中频便于调制，同时能增加系统稳定性，直接频谱搬移不利于实现云云。然后又问我为
信号/CN - 通信与网络	信号/CN - 通信与网络/QUESTIONS.md	Q08	超外差接收机与镜像干扰	为什么接收机采用超外差结构？什么是镜像干扰，怎样抑制？	test/2014-一字班推研那点事儿（2）-宗泽宇.pdf	0.455	regular	2014-一字班推研那点事儿（2）-宗泽宇.pdf	6、什么是时间常数。时间常数是怎么得出的 7、什么是镜像干扰 8、怎么消除镜像干扰
信号/CN - 通信与网络	信号/CN - 通信与网络/QUESTIONS.md	Q08	超外差接收机与镜像干扰	为什么接收机采用超外差结构？什么是镜像干扰，怎样抑制？	test/2019-推研面经-5.docx	0.273	regular	2019-推研面经-5.docx	时序电路中频率受什么影响 接收机灵敏度，可以怎么提高 超外差接收机？？？
信号/CN - 通信与网络	信号/CN - 通信与网络/QUESTIONS.md	Q09	链路预算与通信距离	发射机和接收机已经固定且不能增大发射功率，怎样把通信距离从一公里扩展到十公里？提高天线增益、增加 LNA、滤波器或中继分别改变什么？	test/2013-面试经历小结-黄博.pdf	0.509	regular	2013-面试经历小结-黄博.pdf	波相位模糊的。 差分编码不会导致数据率的变化，所以100bps输入，输出还是100bps。 发射机与接收机都已经焊死（无法改变），不允许增大功率，怎样将通信范围由一公里变为十公里。 A：可以 使用的方法1 增加中继 2、使用更高性能的天线 3、增加低噪声放大器4、使用滤波器滤除带外的干扰
信号/CN - 通信与网络	信号/CN - 通信与网络/QUESTIONS.md	Q10	TCP/IP 分层、TCP 与 UDP	什么是 TCP/IP 协议？MAC 地址属于哪一层？TCP 和 UDP 有什么区别？	test/2013-据说留下面经可以攒人品-戴国浩.pdf	0.5	regular	2013-据说留下面经可以攒人品-戴国浩.pdf	以下是从别的同学那里听到的题目： 什么是TCP/IP协议？什么是MAC地址？ 虚函数和纯虚函数有什么区别？
信号/CN - 通信与网络	信号/CN - 通信与网络/QUESTIONS.md	Q10	TCP/IP 分层、TCP 与 UDP	什么是 TCP/IP 协议？MAC 地址属于哪一层？TCP 和 UDP 有什么区别？	test/2016-推研面试经验分享_胡雨婷.pptx	0.6	regular	2016-推研面试经验分享_胡雨婷.pptx	TCP和UDP有什么区别和联系 七层网络模型 TCP/IP协议
信号/CN - 通信与网络	信号/CN - 通信与网络/QUESTIONS.md	Q10	TCP/IP 分层、TCP 与 UDP	什么是 TCP/IP 协议？MAC 地址属于哪一层？TCP 和 UDP 有什么区别？	test/2019-推研面经-4.docx	0.25	regular	2019-推研面经-4.docx	信号组出来后，就开始了电路组的面试，当然我也是抱着电路自己什么也不会的心态。张沕琳老师很友好，首先问我BJT和MOSFET的各个端口的意思，跨导增益，如何增大跨导增益……接着问我NPN-BJT的两个N可不可以互换，MOS的两个N可不可以互换，一个MOS有几个PN结。接着徐淑正老师开始问我混频电路，虽然我上过通信电路实验，还做了混频这个模块，然而我真的是什么都不懂，徐老师人真的太好了，一点点从发射机到接收机引导我去回答，虽然我最终还是不知道混频电路哈哈。 计算机组 周盛老师首先
信号/CN - 通信与网络	信号/CN - 通信与网络/QUESTIONS.md	Q10	TCP/IP 分层、TCP 与 UDP	什么是 TCP/IP 协议？MAC 地址属于哪一层？TCP 和 UDP 有什么区别？	test/2025-二字班推研面经-wj.pdf	0.45	regular	2025-二字班推研面经-wj.pdf	不认识老师 5 ：了解过 TCP 和 UDP 协议吗？ 我：了解一点 …… 不认识老师 5 ：说说它们有什么区别？
信号/CN - 通信与网络	信号/CN - 通信与网络/QUESTIONS.md	Q11	网络差错、交换机与路由器转发	计算机网络传输数据会不会出现差错，为什么？交换机和路由器可能出现差错吗？	test/2020-七字班推研面经-潘美竹.docx	0.897	regular	2020-七字班推研面经-潘美竹.docx	有什么传输协议（TCP、UDP） 计算机网络中，传输数据可能出现差错吗？为什么？ 交换机和路由器可能出现差错吗？
信号/CN - 通信与网络	信号/CN - 通信与网络/QUESTIONS.md	Q12	电路交换与分组交换	电路交换和分组交换有什么区别，各有什么优缺点？	test/2014-记一次人品大爆发-郭开元.pdf	0.882	regular	2014-记一次人品大爆发-郭开元.pdf	第三个去了计算机组。进去之前就听说这组很怪，净问和计算机关系不大的事情，比如网络啥的。我没上过计 算机网络基础，所以已经准备好了一听到TCP/IP之类的字眼就说没学过。 1.电路交换和分组交换有什么区别，各有什么优劣势？（这还真不能说没学过，通信与网络还真讲了……硬着
信号/CN - 通信与网络	信号/CN - 通信与网络/QUESTIONS.md	Q13	眼图及其指标	什么是眼图？眼睛张开的大小和幅度分别代表什么？眼图闭合说明什么，怎样改善？	test/2012-面经_九字班2.pdf	0.483	regular	2012-面经_九字班2.pdf	[PAGE 4] 电子系推研面试参考资料 3 九字班面经分类整理 By Waiter  For W22 W23 W24 眼图的作用？眼睛张开大小代表什么？眼睛张开幅度代表什么？
信号/CN - 通信与网络	信号/CN - 通信与网络/QUESTIONS.md	Q13	眼图及其指标	什么是眼图？眼睛张开的大小和幅度分别代表什么？眼图闭合说明什么，怎样改善？	test/2025-二字班推研面经-ljh.docx	0.241	regular	2025-二字班推研面经-ljh.docx	plr老师：问我机器学习有哪些分类，我说无监督学习和有监督学习，又问了有哪些无监督学习，之后我说了K-means和特征降维，然后她说这是传统算法，问我深度学习里有哪些无监督，我说了GPT的生成式预训练，但是貌似解释这个的时候有点解释错了，最后就到时间了 4.电磁场和固体物理组 不认识老师：什么是格波？长波极限的声学波代表什么？光学波和声学波是什么关系？德拜理论是为了研究晶体的什么性质？他随温度怎么变化？
信号/CN - 通信与网络	信号/CN - 通信与网络/QUESTIONS.md	Q14	GPS 捕获、跟踪、噪声与多径	GPS 捕获与跟踪大致是什么过程？GPS 与地面通信有什么不同？怎样提高接收灵敏度并抑制多径？噪声和干扰有什么区别？	test/2021-八字班推研面经-涂晨昕.docx	0.698	regular	2021-八字班推研面经-涂晨昕.docx	GPS捕获与跟踪大概有什么过程？ GPS接收机的灵敏度？ GPS接收机有加噪声吗，加了多少？
信号/CN - 通信与网络	信号/CN - 通信与网络/QUESTIONS.md	Q15	PLL 的结构、锁定与用途	PLL 的定义、结构和工作原理是什么？锁定后输入与输出相位是什么关系，有哪些用途？	test/2014-一字班推研那点事儿（2）-宗泽宇.pdf	0.452	regular	2014-一字班推研那点事儿（2）-宗泽宇.pdf	11、PLL原理 12、PLL用法 13、PLL输入输出相位关系
信号/CN - 通信与网络	信号/CN - 通信与网络/QUESTIONS.md	Q16	FM、FSK、FDM 与 OFDM	FM、FSK、FDM 和 OFDM 分别是什么？FM 与 FSK 有什么区别？4FSK 和 4FDM 等价吗？	test/2021-八字班推研面经-贾文彬.docx	0.45	regular	2021-八字班推研面经-贾文彬.docx	Introduce yourself in English. You can talk about anything about yourself. 信号组 FM和FSK分别是什么，他们的区别是什么？
信号/CN - 通信与网络	信号/CN - 通信与网络/QUESTIONS.md	Q16	FM、FSK、FDM 与 OFDM	FM、FSK、FDM 和 OFDM 分别是什么？FM 与 FSK 有什么区别？4FSK 和 4FDM 等价吗？	test/2022-九字班九字班推研面经-2.docx	0.2	regular	2022-九字班九字班推研面经-2.docx	其次固物：一个原子有能隙和能级吗？简述一下金属和半导体的区别？费米能级是什么？温度升高的时候两者电阻怎么变化？为什么？ 最后好像是主考官问的：讲讲你的SRT项目？这玩意正中下怀，我直接讲了接近3min，讲到面试结束为止hhh 总结与吐槽：每门课都不会问太多的问题，基本都是稍稍追问一下就没了。能扯就扯，特别是自己熟悉的领域。
信号/CN - 通信与网络	信号/CN - 通信与网络/QUESTIONS.md	Q16	FM、FSK、FDM 与 OFDM	FM、FSK、FDM 和 OFDM 分别是什么？FM 与 FSK 有什么区别？4FSK 和 4FDM 等价吗？	test/2022面试问题_sy.docx	0.6	regular	2022面试问题_sy.docx	解释电子、光子、声子的区别？电子跃迁发射光子时满足什么守恒 FM，FSK，FDM分别是什么 4FSK和4FDM等价吗
信号/CN - 通信与网络	信号/CN - 通信与网络/QUESTIONS.md	Q17	为什么需要调制	传输信息时为什么要调制？	test/2022-九字班推研面经-1.docx	0.7	regular	2022-九字班推研面经-1.docx	ggg就问了一个问题：能否从系统的角度分析一下ADC采样率和bit数的折衷？（简历相关，我一开始一头雾水，后来想了想就解释了一下Warden FoM） sjs真的是好人啊（赞叹）：为什么要重载运算符？为什么有些运算符不能重载？128人打淘汰赛，一共要多少场比赛才能决出冠军？ 最后一个老师：我们在传输信息的时候为什么要进行调制？
信号/CN - 通信与网络	信号/CN - 通信与网络/QUESTIONS.md	Q18	OFDM、CSI 反馈与 MIMO 天线	OFDM 有什么缺点，怎样改善？为什么零频子载波通常不承载信息？CSI feedback 是什么、有什么用？MIMO 天线之间要满足什么条件？	test/2022推研面经-wcyh.docx	0.641	regular	2022推研面经-wcyh.docx	OFDM的缺点是什么？怎么改善？ OFDM零频（直流）子载波为什么往往不承载信息？ MIMO的天线之间要满足什么？
信号/CN - 通信与网络	信号/CN - 通信与网络/QUESTIONS.md	Q19	码分多址与扩频	码分复用的原理是什么？	test/2023-0字班推研面经-1.pdf	0.778	regular	2023-0字班推研面经-1.pdf	第五个老师（问通网）： 1. 解释一下香农公式（带宽和信噪比 balabala ，这个幸好考前一天背了）？ 2. 介绍一下通信里面的技术？解释一下码分复用的原理（感觉没有完全说明白，只能堆叠
信号/CN - 通信与网络	信号/CN - 通信与网络/QUESTIONS.md	Q20	噪声抑制与主动降噪	噪声能不能消除，怎样抑制？主动降噪耳机是什么原理？	test/2020-七字班推研面经-荆峥.pdf	0.286	regular	2020-七字班推研面经-荆峥.pdf	七字班面试经历 荆峥  在2020年推免中，我计划交叉至外系读博，电子系对于校内交叉的同学基本不设限制，对于外推到外校的同学可能会存在名额限制，现在还不确定七字班的外推情况如何，往年外推基本都可以满足。 博士比较关键的是联系导师，如果导师有固定名额且确定招收你的话，面试的要求就没有那么高，但电子系读博要求面试成绩（非GPA）必须在前80%，还是要好好准备，但压力会小很多；外系交叉其实是类似的，如果拿到了博士固定名额对于面试成绩没有特别高的要求，但仍要认真准备，尤其是外系专业课
信号/CN - 通信与网络	信号/CN - 通信与网络/QUESTIONS.md	Q20	噪声抑制与主动降噪	噪声能不能消除，怎样抑制？主动降噪耳机是什么原理？	test/2022-九字班九字班推研面经-2.docx	0.524	regular	2022-九字班九字班推研面经-2.docx	专业面试： 首先电磁场：简述一下Maxwell方程和其意义？  Maxwell方程能够推出本构关系吗？ (本构关系要么没讲要么忘了 只能乱说了) 忘记了一个问题，等着补 其次通信：讲一下FM,FSK,OFDM的方法？噪声可以消除吗？可以抑制吗？如何抑制？降噪耳机是什么原理？最大似然和最大后验的区别？
信号/CN - 通信与网络	信号/CN - 通信与网络/QUESTIONS.md	Q21	重复传输与合并增益	同一信号经 Gauss 信道传两次，分别收到 $y_1$、$y_2$，两次信噪比均为 $10\ \mathrm{dB}$；直接相加后信噪比会不会提高，提高多少？信道容量会不会改变？	test/2019-推研面经-1.docx	0.2	regular	2019-推研面经-1.docx	两个方差为1的高斯分布，他们的和的方差的最大值最小值，什么时候取最小值 降噪耳机的原理 给一个信号X，第一次收得Y1，信噪比10dB；重发X，第二次收得Y2，信噪比10dB。问这种策略信噪比是否提升？提升多少？信道容量是否变？为什么？信道容量（高斯）公式，引导信噪比变没变，所以信道容量变没变？
信号/CN - 通信与网络	信号/CN - 通信与网络/QUESTIONS.md	Q21	重复传输与合并增益	同一信号经 Gauss 信道传两次，分别收到 $y_1$、$y_2$，两次信噪比均为 $10\ \mathrm{dB}$；直接相加后信噪比会不会提高，提高多少？信道容量会不会改变？	test/2021-八字班推研面经-贾文彬.docx	0.2	regular	2021-八字班推研面经-贾文彬.docx	对于4阶以上的PSK和QAM，又怎么选，为什么？ 不相关和独立的定义是什么？在什么情况下可以互相转化？ 一个GC信道，进行两次传输，分别接收到y1和y2，将y1+y2作为接收，接收信噪比有提高吗？为什么？
信号/CN - 通信与网络	信号/CN - 通信与网络/QUESTIONS.md	Q22	CSMA/CD 与 CSMA/CA	CSMA 的全称是什么？CSMA/CD 和 CSMA/CA 分别是什么？	test/2022面试问题_sy.docx	0.917	regular	2022面试问题_sy.docx	对于功率受限的系统，AM还有另外几个调制方式（我没听清楚）你选择哪一种？ 相速度和群速度的区别？ CSMA全称是什么？CSMA/CD和/CSMA/CA分别是？
信号/CN - 通信与网络	信号/CN - 通信与网络/QUESTIONS.md	Q23	增量调制及其失真	为什么使用增量调制，它有什么意义？	test/2013-趁没忘记题目-谷梦媛.pdf	0.615	regular	2013-趁没忘记题目-谷梦媛.pdf	4 非线性系统的输出响应怎么求？ 5 概率论与随机过程，相等和依概率一相等一样么？（我答一样，然后他就不搭理我了呵呵） 6 为啥要用增量调制？有什么意义么？
信号/CN - 通信与网络	信号/CN - 通信与网络/QUESTIONS.md	Q24	TCP 滑动窗口与拥塞控制	TCP 的滑动窗口是什么？它与流量控制、拥塞控制有什么关系？加性增、乘性减是什么意思？	test/2019-推研面经-4.docx	0.333	regular	2019-推研面经-4.docx	信号组出来后，就开始了电路组的面试，当然我也是抱着电路自己什么也不会的心态。张沕琳老师很友好，首先问我BJT和MOSFET的各个端口的意思，跨导增益，如何增大跨导增益……接着问我NPN-BJT的两个N可不可以互换，MOS的两个N可不可以互换，一个MOS有几个PN结。接着徐淑正老师开始问我混频电路，虽然我上过通信电路实验，还做了混频这个模块，然而我真的是什么都不懂，徐老师人真的太好了，一点点从发射机到接收机引导我去回答，虽然我最终还是不知道混频电路哈哈。 计算机组 周盛老师首先
信号/CN - 通信与网络	信号/CN - 通信与网络/QUESTIONS.md	Q24	TCP 滑动窗口与拥塞控制	TCP 的滑动窗口是什么？它与流量控制、拥塞控制有什么关系？加性增、乘性减是什么意思？	test/2025-二字班推研面经-wj.pdf	0.433	regular	2025-二字班推研面经-wj.pdf	不认识老师 5 ：还有吗？ 我：不知道，对不起老师 …… （这东西群友讲过很多，但是我实在没时间复习了） 不认识老师 5 ： TCP 的滑动窗口了解过吗？（试图循循善诱我说 TCP 的拥塞控制）
信号/CN - 通信与网络	信号/CN - 通信与网络/QUESTIONS.md	Q25	接收机带通滤波器	接收机带通滤波器有什么作用？	test/2024-一字班推研面经-lym.pdf	0.833	regular	2024-一字班推研面经-lym.pdf	门函数和阶跃函数的傅里叶变换 傅里叶变换求导 接收机带通滤波器的作用
信号/CN - 通信与网络	信号/CN - 通信与网络/QUESTIONS.md	Q26	多址方式与空分实现	多个用户接入叫什么，有哪些多址方式？空分多址有哪些实现方法？	test/2012-面经_九字班2.pdf	0.478	regular	2012-面经_九字班2.pdf	如果我有一个频率为 3M 的正弦波，我想得到频率为 1M 的正弦波，应该怎么办？ 混频器应用 画出单边带调幅的两种实现方法框图，并说明原理
